Date	Symbol	Open	High	Low	Close	Volume
02/02/2021 00:00	BTCUSD	33554.84	33640.8	33444.44	33640.8	3.609277661
01/02/2021 23:00	BTCUSD	33585.15	33800	33474.39	33554.84	57.89177314
01/02/2021 22:00	BTCUSD	33676.43	33817.78	33545.88	33585.15	48.77221467
01/02/2021 21:00	BTCUSD	33875.78	33875.78	33600	33676.43	69.78806286
01/02/2021 20:00	BTCUSD	33854.27	34071.01	33758.54	33875.78	70.96488025
01/02/2021 19:00	BTCUSD	33737.19	34075.16	33721	33854.27	137.9353541
01/02/2021 18:00	BTCUSD	34004.76	34040	33673.54	33737.19	144.6328668
01/02/2021 17:00	BTCUSD	33454.26	34075.16	33388.24	34004.76	144.3328858
01/02/2021 16:00	BTCUSD	33158.82	33579.95	33106.09	33454.26	135.2197095
01/02/2021 15:00	BTCUSD	33531.11	33627.54	33152.13	33158.82	141.7694665
01/02/2021 14:00	BTCUSD	33704.3	33881.43	33380.4	33531.11	192.0041232
01/02/2021 13:00	BTCUSD	33804.96	34007.55	33654.81	33704.3	63.75096078
01/02/2021 12:00	BTCUSD	34194.01	34486.63	33600	33804.96	87.34013027
01/02/2021 11:00	BTCUSD	34175.01	34418.27	33971.09	34194.01	44.73093656
01/02/2021 10:00	BTCUSD	34384.46	34561.71	34044.3	34175.01	30.61646251
01/02/2021 09:00	BTCUSD	34488.9	34700	34323.9	34384.46	65.90375025
01/02/2021 08:00	BTCUSD	33856.97	34501.99	33624.7	34488.9	43.00577761
01/02/2021 07:00	BTCUSD	33562.27	33889.85	33446.39	33856.97	48.2973296
01/02/2021 06:00	BTCUSD	33812.31	34487.73	33309.21	33562.27	268.440258
01/02/2021 05:00	BTCUSD	33595.52	33917.21	33475.93	33812.31	28.61503519
01/02/2021 04:00	BTCUSD	33608.78	33967.46	33450	33595.52	40.41849481
01/02/2021 03:00	BTCUSD	33689.99	33789.98	33497.4	33608.78	53.23028806
01/02/2021 02:00	BTCUSD	33469.02	33872.66	33265.22	33689.99	70.5639479
01/02/2021 01:00	BTCUSD	32590	33598.21	32520.06	33469.02	83.18384362
01/02/2021 00:00	BTCUSD	33153.74	33153.74	32320.97	32590	57.51331526
31/01/2021 23:00	BTCUSD	33022.14	33284.02	32959.35	33153.74	45.3967089
31/01/2021 22:00	BTCUSD	32611.85	33121.85	32611.85	33022.14	38.25536241
31/01/2021 21:00	BTCUSD	32924.16	32953.85	32587.06	32611.85	14.56386539
31/01/2021 20:00	BTCUSD	32868.7	32961.06	32541.11	32924.16	37.78198703
31/01/2021 19:00	BTCUSD	32482.89	32957.56	32416.34	32868.7	27.46598358
31/01/2021 18:00	BTCUSD	32342.09	32889.58	32200	32482.89	81.41319302
31/01/2021 17:00	BTCUSD	32936.24	33109.4	32210	32342.09	120.4630468
31/01/2021 16:00	BTCUSD	32912.97	33099.93	32640.43	32936.24	89.11781156
31/01/2021 15:00	BTCUSD	33365.42	33498.23	32557.79	32912.97	125.9520679
31/01/2021 14:00	BTCUSD	33691.27	33752.85	33347.28	33365.42	30.96874114
31/01/2021 13:00	BTCUSD	34011.48	34064.74	33623.87	33691.27	19.03827169
31/01/2021 12:00	BTCUSD	33583.91	34205	33400	34011.48	44.92938921
31/01/2021 11:00	BTCUSD	33689.06	33815.85	33485.04	33583.91	12.38411521
31/01/2021 10:00	BTCUSD	33326.01	33758.32	33237.6	33689.06	28.55407319
31/01/2021 09:00	BTCUSD	33599.27	33771.04	33326	33326.01	24.07819074
31/01/2021 08:00	BTCUSD	33609.26	33824.54	33333.01	33599.27	39.68193861
31/01/2021 07:00	BTCUSD	33682.41	33858.97	33457.46	33609.26	26.14865463
31/01/2021 06:00	BTCUSD	33778.34	33889.55	33603.5	33682.41	15.24720669
31/01/2021 05:00	BTCUSD	34073.09	34090.42	33712.98	33778.34	34.04684973
31/01/2021 04:00	BTCUSD	33949.79	34170.31	33827.82	34073.09	33.47866421
31/01/2021 03:00	BTCUSD	33790.68	34079.99	33682.22	33949.79	18.45304264
31/01/2021 02:00	BTCUSD	34223.12	34302.76	33718.21	33790.68	34.13552112
31/01/2021 01:00	BTCUSD	34110.2	34304.36	33984.75	34223.12	30.01313992
31/01/2021 00:00	BTCUSD	34351.1	34411.79	33928	34110.2	50.00977051
30/01/2021 23:00	BTCUSD	34606.53	34606.53	34212.37	34351.1	35.67661364
30/01/2021 22:00	BTCUSD	34706.55	34805.65	34564.07	34606.53	59.42601127
30/01/2021 21:00	BTCUSD	34167.31	34707.98	34033.46	34706.55	62.55326322
30/01/2021 20:00	BTCUSD	34340.05	34483.99	34124.52	34167.31	45.11884549
30/01/2021 19:00	BTCUSD	34365.85	34408.88	34074.85	34340.05	28.40137314
30/01/2021 18:00	BTCUSD	34279.27	34393.19	34118.47	34365.85	59.04598523
30/01/2021 17:00	BTCUSD	33981.22	34313.23	33967.31	34279.27	54.36662684
30/01/2021 16:00	BTCUSD	34282.89	34285.25	33549.59	33981.22	83.3248409
30/01/2021 15:00	BTCUSD	34222.7	34539.85	34090.11	34282.89	38.26321891
30/01/2021 14:00	BTCUSD	34290	34417	34011.67	34222.7	33.9298077
30/01/2021 13:00	BTCUSD	33800.49	34410.71	33701.18	34290	53.97266158
30/01/2021 12:00	BTCUSD	33666.23	33864.08	33464.84	33800.49	71.58381218
30/01/2021 11:00	BTCUSD	34361.82	34373.13	33530.49	33666.23	20.2759394
30/01/2021 10:00	BTCUSD	34299.38	34406.27	33928.75	34361.82	10.37894471
30/01/2021 09:00	BTCUSD	33879.04	34427.61	33857.51	34299.38	42.76345677
30/01/2021 08:00	BTCUSD	34052.92	34385.83	33799.99	33879.04	265.4017378
30/01/2021 07:00	BTCUSD	33812.08	34191.35	33381.83	34052.92	58.18181646
30/01/2021 06:00	BTCUSD	33493.23	33860.85	33153.17	33812.08	59.97048811
30/01/2021 05:00	BTCUSD	33498.8	33954.49	33185.87	33493.23	87.32466807
30/01/2021 04:00	BTCUSD	33289.13	33657.26	33181.05	33498.8	76.4582806
30/01/2021 03:00	BTCUSD	33896.2	34015.02	32850	33289.13	183.0712622
30/01/2021 02:00	BTCUSD	34140.61	34448.7	33700.34	33896.2	85.50043929
30/01/2021 01:00	BTCUSD	34256.32	34934.02	33971.09	34140.61	126.5072826
30/01/2021 00:00	BTCUSD	34257.22	34887.09	34256.32	34256.32	925.1974223
29/01/2021 23:00	BTCUSD	34481.89	34643.49	33750	34257.22	136.1036266
29/01/2021 22:00	BTCUSD	34645.92	35509.9	34296.91	34481.89	244.88513
29/01/2021 21:00	BTCUSD	34622.51	34830.85	34177.26	34645.92	69.8156243
29/01/2021 20:00	BTCUSD	34355.58	34982.8	33866.3	34622.51	142.5578707
29/01/2021 19:00	BTCUSD	35239.92	35372.97	33510	34355.58	335.742573
29/01/2021 18:00	BTCUSD	35738.16	36033.73	34600	35239.92	406.1117593
29/01/2021 17:00	BTCUSD	36090.9	36465.53	35568.58	35738.16	287.0496023
29/01/2021 16:00	BTCUSD	37161.26	37570.87	35789.93	36090.9	288.7029359
29/01/2021 15:00	BTCUSD	37170.87	37648.65	36842.75	37161.26	433.4288204
29/01/2021 14:00	BTCUSD	38378.97	38587.14	36580.16	37170.87	484.2220754
29/01/2021 13:00	BTCUSD	37935.79	38665.71	37192.21	38378.97	348.8678147
29/01/2021 12:00	BTCUSD	37126.47	37990.67	36590.49	37935.79	231.8299075
29/01/2021 11:00	BTCUSD	36768.56	37321.6	36523.84	37126.47	184.7097898
29/01/2021 10:00	BTCUSD	37002.61	37284.48	35551.54	36768.56	151.4434549
29/01/2021 09:00	BTCUSD	36344.16	38250	34837.09	37002.61	931.276619
29/01/2021 08:00	BTCUSD	32285.47	36741.88	32059.29	36344.16	445.4176915
29/01/2021 07:00	BTCUSD	32555.17	32708.97	31968.27	32285.47	107.3655862
29/01/2021 06:00	BTCUSD	33079.35	33079.35	32426.08	32555.17	162.5269275
29/01/2021 05:00	BTCUSD	33102.92	33303.61	32810.32	33079.35	203.8548787
29/01/2021 04:00	BTCUSD	33864.01	34047.02	32855.11	33102.92	817.2425099
29/01/2021 03:00	BTCUSD	34089.61	34671.77	33632.92	33864.01	607.2979273
29/01/2021 02:00	BTCUSD	33973.66	34329.01	33876.25	34089.61	355.6139182
29/01/2021 01:00	BTCUSD	34252.52	34426.29	33753.7	33973.66	229.3436547
